text,target
@femfreq You are a despicable whore :),1
"@femfreq kill yourself feminists are a waste of air also more games should have girl characters half naked such as ""Tomb Raider"" etc",1
@femfreq shut the fuck up bitch I'm the lawyer of this community got something to say take it up with me,1
"@femfreq you criticize gamers for ""threatening you"" 1v1 me gta u be the prostitute and I'll be the guy that runs over you attention whore",1
@femfreq BITCH WERE NOT TALKING ABOUT THAT SO I HOPE YOU GET FUCKING RAPED U FUCKING WHORE,1
@femfreq I hope every feminist has their head severed from their shoulders.,1
@femfreq FUCK U. ATTENTION WHORE FUCK OFF.,1
@femfreq kill yourself oh wait sorry did I hurt your tits with my keyboard,1
@femfreq fuck you and everything you stand for,1
@femfreq YOU STUPID FUCKING CUNT IMA FUCKING RAPE U ALLLL THE WAY TP 2069 SWEATIE FUK WE ME MY NIGGA I NAC FER DAYS O WAIT U DONT KNOW A NAC,1
how about you get cancer @femfreq,1
@femfreq FUCK YOU BITCH,1
"@femfreq fuck you, bitch",1
@femfreq oi fuck you mother fucker slut bitch female ass hoe slut fuck you show me your tits,1
"@femfreq Just putting it out there, you deserve all those death threats you are getting.",1
"nobody comes at call of duty like that. i'll quickscope you irl, fgt. @femfreq",1
@femfreq @Nightline please shut the fuck up but wait you'll make a article about how I threatened you and act like I'm satan well bitch u r,1
@femfreq lol dumb bitch,1
@femfreq and gta is a game where there is reality ... I can choose to pick up a slut or not kill a slut or not run over a slut or not,1
@femfreq kill yourself you piece of garbage. You shouldn't be able to breathe. Such a waste of oxygen.,1
@femfreq fuck you're a dumb cunt,1
@femfreq I Hope you fucking Kill yourself Get Ice Skates Split your throat And drink bleach,1
"@femfreq @zClarkeyy hi aneta, when are you going to fucking kill yourself you annoying fuckign cunt",1
@femfreq we are the games you stupidly delusional cunt...,1
@femfreq go fuck yourself bitch,1
@femfreq @StephenAtHome How the fuck did you make this about feminism? #GamerGate is about something completely different! dumb bitch,1
"@femfreq If you are seriously gonna try to change gaming, I will hack your account and put gay porn EVERYWHERE",1
"I wonder if @ABC will have a news segment called ""How it feels like to be a lying cunt"" and invite @Femfreq back on.",1
"@femfreq Fuck you and fuck everything you stand for. You are the shit stain of the gaming community, just leave games the fuck alone.",1
"@femfreq Stop. You do not understand about gaming, Death Threats are made daily, as well as rape threats. guess what? It's not only women!",1
"@femfreq dumb bitch, your going to ruin the gaming community for millions of people we hope your happy",1
@femfreq get cancer,1
@femfreq you can qriticue the games... With your slut cunt #rekt,1
@femfreq im gonna bust dem sugar walls leave an aids load in der,1
"@femfreq this bitch is such a liar haha. lying about games showing the world they are sexist but in reality, theyre not xD",1
@femfreq most women are ugly as fuck without makeup im glad they have to wear it,1
@femfreq you're a stupid fat cunt die pls?,1
@femfreq listen here u slutty hi bag this isn't about feminist it's about you wanting money and trying to take a community down #drinkbleach,1
@femfreq fucking bitch you dont deserve rights feminist need to good to jail for existing #MeninistTwitter,1
"@femfreq you're a fucking bitch, EVERYSINGLE FKN PERSON who plays online gets DEATH THREATS!, and NO one cares, its NOT a big deal.",1
@femfreq if you were a real gamer you would know this happens to men + women  also i think ur just a whore looking for daddys attention,1
@femfreq @egisinj stop being a bitch. Its life people make death threats so what. you won't change anything your just as nothing as i am.,1
@femfreq pll-zzzzzzzzzzzzzzzzzzzzzzzzz kill yourself u are ruining the community for all genders dummmmmmmmmmmmy,1
@femfreq uh boohoo stop crying you selfish faking bitch and get over it who would rape you your fucking ugly you Arab bitch,1
@femfreq Why ruin people gaming experience when you should keep your nose in your own business? Clearly you need to be educated. @KEEMSTARx,1
@femfreq i wish i knew you should i could have sex with you and then run you over with my car,1
@femfreq u are not a real gamer go die get out of here #GamerGate #fuckyouanita #DramaAlert @KEEMSTARx,1
@femfreq I hope you get raped by 4 men with 9 inch cocks,1
@femfreq kill yourself paki,1
"@femfreq hey bitch, here's a bright idea. Stayyyyy the fuck away from gaming? Let us do us. We don't fw your line of work so why fw ours?",1
@femfreq This is an anonymous death threat,1
the only question left is will @femfreq be raped first or killed first or both or ?,1
@femfreq Death threats and rape threats are in the culture of gaming... Have you ever played an Online game? Get used to it..,1
@femfreq die please?,1
@dislekcia @femfreq kill yourself,1
"@femfreq If you take death threats seriously, kill yourself.",1
@femfreq So what! People get angry and make a threat in game and 1 hour later their the nicest person in the world! Stop lying to the media!,1
@femfreq listen up you dumb hoe. Go fuck yourself and your shitty sense. Dumb bitch doesnt know anything. Kys.,1
@femfreq Kill your self Anita you stupid fucking bitch you think your the only one attacked lol get the fuck out of you feminist cunt,1
@femfreq Eyo fucking slut. If you will ever come to Europe I will rape you into oblivion,1
@femfreq fuck off,1
"@femfreq Let me ask you kindly, anita: Get the fuck out of the gaming community, you are like a parasite, would you?",1
@femfreq FUCKING CUNT WHORE STOP TRYING TO PLAY VICTIM YOU'RE FUCKING STUPID!!!!!,1
im going to kill you @femfreq,1
@spikepoint @femfreq imma kill u and rape u,1
@femfreq YOURE RUINING #GamerGate FOR WHAT IT WAS SUPPOSED TO BE LIKE WHY DO YOU DO THAT WHATS YOUR PROBLEM? STOP DUDE LIKE FUCK,1
@femfreq You Stupid Ass Bitch I Will Fuck You In The Ass So Hard I Would Break The 9.5 Earthquake Record And Leave That Ass Jiggling ForDays,1
@femfreq fuck this stupid bitch,1
@femfreq your a bitch your a bitch your a bitch your a bitch bitch bitch your a bitch!,1
@femfreq I'm gonna beat you with a sock of quarters and your supporters if you come to my town,1
@radicalbytes fuck you twat,1
@ femfreq die please and thank you,1
@femfreq swear I would put this bitch 6 feet deep.,1
"@ femfreq Hope she dies really soon, if not soon enough, then I'll kill her.",1
"@femfreq you are a cunt, so what is the problem",1
"@femfreq keep on scamming your followers. threats are part of gaming, always been. Stop tryinng to victimize yourself for money!",1
No one likes you Anita Sarkeesian you little bitch. @femfreq,1
"@femfreq well if it's on the Internet, it must be true. Cunt.",1
@femfreq should be @femCUNT or @femFREAK LOL! I HATE FEMCUNTS!!,1
"@femfreq @JimSterling Threats ARE an accepted part of gaming, except in non-cunt lingo its called *trash talk*. But sure, Keep milkin it. ",1
"@femfreq I WAANT TO FUCKING STAB YOUR STUPID FUCKING UGLY SHAPED FACE YOU FEMINIST CUNT, KILL YOURSELF, NO ONE WILL CARE BITCH.",1
"@femfreq you're a sad bunch for supporting this attention whore. you people need to grow up, seriously, the lies she spits is embarrassing.",1
